# Sample of 1000 probability pixels from cumulative_reduced3Dmap-64nside-2000max-100step.npz using dist method
# dec,ra,d_l,weight
1.910633,0.871301,700.000000,6.65762793e-11
1.910633,0.871301,700.000000,6.65762793e-11
1.910633,0.871301,700.000000,6.65762793e-11
1.910633,0.871301,700.000000,6.65762793e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.910633,0.846757,500.000000,6.49418916e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.932819,0.871301,700.000000,6.32566608e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.943982,0.883573,600.000000,6.06759047e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.921704,0.883573,500.000000,5.97275136e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.888620,0.846757,600.000000,5.91889174e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.899606,0.859029,700.000000,5.65369241e-11
1.921704,0.883573,700.000000,5.09800844e-11
1.921704,0.883573,700.000000,5.09800844e-11
1.921704,0.883573,700.000000,5.09800844e-11
1.921704,0.883573,700.000000,5.09800844e-11
1.921704,0.883573,700.000000,5.09800844e-11
1.910633,0.846757,700.000000,4.87677812e-11
1.910633,0.846757,700.000000,4.87677812e-11
1.910633,0.846757,700.000000,4.87677812e-11
1.910633,0.846757,700.000000,4.87677812e-11
1.910633,0.846757,700.000000,4.87677812e-11
1.910633,0.846757,700.000000,4.87677812e-11
1.943982,0.883573,500.000000,4.61557558e-11
1.943982,0.883573,500.000000,4.61557558e-11
1.943982,0.883573,500.000000,4.61557558e-11
1.943982,0.883573,500.000000,4.61557558e-11
1.943982,0.883573,500.000000,4.61557558e-11
1.943982,0.883573,500.000000,4.61557558e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.888620,0.846757,500.000000,4.51646348e-11
1.899606,0.834486,600.000000,4.22641661e-11
1.899606,0.834486,600.000000,4.22641661e-11
1.899606,0.834486,600.000000,4.22641661e-11
1.899606,0.834486,600.000000,4.22641661e-11
1.899606,0.834486,600.000000,4.22641661e-11
1.899606,0.834486,600.000000,4.22641661e-11
1.899606,0.834486,600.000000,4.22641661e-11
1.899606,0.834486,600.000000,4.22641661e-11
1.932819,0.895845,600.000000,3.99935729e-11
1.932819,0.895845,600.000000,3.99935729e-11
1.932819,0.895845,600.000000,3.99935729e-11
1.932819,0.895845,600.000000,3.99935729e-11
1.943982,0.883573,700.000000,3.67842192e-11
1.943982,0.883573,700.000000,3.67842192e-11
1.943982,0.883573,700.000000,3.67842192e-11
1.943982,0.883573,700.000000,3.67842192e-11
1.943982,0.883573,700.000000,3.67842192e-11
