# Highest 10000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
0.730574,0.336599,1260.000000,1.21918681e+03
2.730455,4.123340,1390.000000,1.21918590e+03
0.516016,1.413717,1330.000000,1.21911897e+03
2.411019,0.785398,1320.000000,1.21816968e+03
0.102106,5.497787,1400.000000,1.21800804e+03
0.622368,3.010693,1310.000000,1.21718189e+03
2.300524,2.650719,1310.000000,1.21673108e+03
2.625576,5.183628,1370.000000,1.21657798e+03
0.730574,4.151390,1380.000000,1.21643567e+03
2.519224,5.890486,1400.000000,1.21619488e+03
2.519224,5.890486,1400.000000,1.21619488e+03
0.841069,4.025166,1390.000000,1.21587148e+03
0.730574,1.009798,1270.000000,1.21583286e+03
0.622368,4.843289,1370.000000,1.21574806e+03
0.411138,0.589049,1290.000000,1.21481549e+03
0.411138,0.589049,1290.000000,1.21481549e+03
2.519224,0.654498,1380.000000,1.21477268e+03
0.516016,1.099557,1310.000000,1.21456675e+03
0.516016,2.356194,1390.000000,1.21449840e+03
1.487366,0.785398,1350.000000,1.21357521e+03
0.204480,1.178097,1300.000000,1.21320886e+03
2.411019,1.682996,1380.000000,1.21286464e+03
2.834198,2.356194,1350.000000,1.21152487e+03
0.622368,5.366887,1270.000000,1.21103602e+03
0.730574,3.029393,1290.000000,1.21014755e+03
0.730574,3.029393,1290.000000,1.21014755e+03
2.411019,2.356194,1270.000000,1.21013858e+03
2.193623,4.319690,1230.000000,1.21002295e+03
2.937112,3.534292,1360.000000,1.20949250e+03
0.730574,5.722187,1320.000000,1.20940737e+03
2.411019,6.170986,1380.000000,1.20929149e+03
0.516016,5.497787,1390.000000,1.20918772e+03
0.516016,5.497787,1390.000000,1.20918772e+03
0.622368,0.130900,1360.000000,1.20917234e+03
0.622368,0.654498,1260.000000,1.20712322e+03
0.622368,0.654498,1260.000000,1.20712322e+03
2.625576,5.183628,1360.000000,1.20708824e+03
2.625576,5.183628,1360.000000,1.20708824e+03
0.947970,0.589049,1350.000000,1.20697072e+03
0.622368,0.392699,1330.000000,1.20656052e+03
0.730574,4.151390,1370.000000,1.20555710e+03
0.841069,2.454369,1360.000000,1.20404764e+03
2.411019,4.151390,1340.000000,1.20376230e+03
2.625576,2.356194,1330.000000,1.20365337e+03
0.730574,1.009798,1260.000000,1.20358551e+03
0.841069,1.276272,1240.000000,1.20342847e+03
0.516016,2.356194,1380.000000,1.20288833e+03
2.519224,3.272492,1390.000000,1.20279166e+03
2.519224,3.272492,1390.000000,1.20279166e+03
0.622368,4.581489,1370.000000,1.20266433e+03
2.625576,6.126106,1290.000000,1.20253530e+03
2.625576,6.126106,1290.000000,1.20253530e+03
2.300524,0.687223,1380.000000,1.20212216e+03
0.622368,4.057891,1390.000000,1.20190963e+03
2.519224,4.581489,1320.000000,1.20100653e+03
2.834198,2.356194,1340.000000,1.20070588e+03
1.141021,4.712389,1320.000000,1.20030051e+03
2.834198,3.403392,1290.000000,1.19986704e+03
2.834198,3.926991,1330.000000,1.19979812e+03
2.625576,5.811946,1360.000000,1.19968087e+03
2.411019,6.170986,1370.000000,1.19936648e+03
2.519224,2.225295,1400.000000,1.19892715e+03
2.519224,2.225295,1400.000000,1.19892715e+03
0.841069,2.258020,1330.000000,1.19869308e+03
2.937112,3.534292,1350.000000,1.19860103e+03
2.519224,5.628687,1330.000000,1.19858949e+03
2.519224,5.628687,1330.000000,1.19858949e+03
2.300524,0.883573,1400.000000,1.19845064e+03
0.516016,2.670354,1390.000000,1.19814927e+03
2.193623,4.319690,1220.000000,1.19808383e+03
0.516016,0.157080,1210.000000,1.19786371e+03
0.730574,5.722187,1310.000000,1.19780694e+03
2.193623,5.301438,1380.000000,1.19757759e+03
2.193623,5.301438,1380.000000,1.19757759e+03
2.193623,5.301438,1380.000000,1.19757759e+03
2.193623,2.552544,1360.000000,1.19729377e+03
1.141021,3.926991,1370.000000,1.19726866e+03
0.102106,5.497787,1380.000000,1.19633944e+03
0.102106,3.926991,1320.000000,1.19627505e+03
2.519224,5.890486,1380.000000,1.19618840e+03
2.519224,0.654498,1360.000000,1.19608188e+03
2.625576,4.241150,1400.000000,1.19565622e+03
0.411138,6.086836,1260.000000,1.19529096e+03
0.411138,6.086836,1260.000000,1.19529096e+03
2.519224,2.487094,1230.000000,1.19512238e+03
0.622368,0.392699,1320.000000,1.19481817e+03
0.411138,1.767146,1400.000000,1.19479391e+03
0.841069,1.472622,1390.000000,1.19463374e+03
0.730574,4.151390,1360.000000,1.19463031e+03
2.300524,0.687223,1370.000000,1.19421748e+03
2.937112,2.748894,1330.000000,1.19418732e+03
0.841069,4.025166,1370.000000,1.19412884e+03
0.841069,3.828816,1330.000000,1.19408470e+03
0.841069,0.098175,1300.000000,1.19398519e+03
0.841069,1.079922,1310.000000,1.19233560e+03
2.411019,4.151390,1330.000000,1.19199630e+03
0.204480,0.392699,1360.000000,1.19138692e+03
2.411019,0.112200,1370.000000,1.19121519e+03
2.300524,2.650719,1290.000000,1.19115138e+03
2.625576,3.926991,1350.000000,1.19101173e+03
0.841069,1.276272,1230.000000,1.19100369e+03
0.516016,6.126106,1180.000000,1.19092258e+03
0.516016,6.126106,1180.000000,1.19092258e+03
0.730574,5.946586,1350.000000,1.19075917e+03
2.519224,3.796091,1300.000000,1.19062292e+03
2.519224,4.581489,1310.000000,1.19043614e+03
2.730455,4.123340,1360.000000,1.18992870e+03
0.622368,6.152286,1310.000000,1.18971938e+03
0.516016,1.727876,1380.000000,1.18921928e+03
2.411019,2.580594,1360.000000,1.18835089e+03
2.193623,5.694137,1370.000000,1.18818225e+03
2.519224,0.130900,1310.000000,1.18793400e+03
1.654226,4.319690,1390.000000,1.18785255e+03
2.937112,3.534292,1340.000000,1.18766439e+03
0.307395,0.261799,1220.000000,1.18756419e+03
0.204480,1.963495,1380.000000,1.18744845e+03
0.204480,1.963495,1380.000000,1.18744845e+03
2.411019,5.722187,1220.000000,1.18742403e+03
0.516016,5.497787,1370.000000,1.18741491e+03
