# Highest 5000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
2.300524,0.687223,1250.000000,1.09384452e+03
2.625576,4.869469,1320.000000,1.09373525e+03
2.519224,1.178097,1400.000000,1.09350493e+03
0.841069,4.810564,1380.000000,1.09345228e+03
2.300524,3.043418,1360.000000,1.09344679e+03
0.841069,2.454369,1250.000000,1.09252334e+03
1.403348,6.185011,1380.000000,1.09235467e+03
0.411138,1.374447,1350.000000,1.09184932e+03
1.047198,6.185011,1400.000000,1.09163594e+03
1.823477,0.196350,1340.000000,1.09073653e+03
2.300524,3.436117,1320.000000,1.09055097e+03
0.841069,0.687223,1230.000000,1.09032538e+03
2.300524,4.417865,1190.000000,1.08990421e+03
2.625576,5.811946,1250.000000,1.08977942e+03
1.403348,5.399612,1310.000000,1.08977757e+03
2.411019,0.560999,1350.000000,1.08957309e+03
2.193623,4.319690,1130.000000,1.08935496e+03
0.947970,0.392699,1370.000000,1.08766930e+03
0.516016,1.099557,1200.000000,1.08731392e+03
1.047198,1.865321,1350.000000,1.08651602e+03
1.141021,0.000000,1330.000000,1.08630829e+03
2.519224,6.152286,1210.000000,1.08612102e+03
0.102106,5.497787,1280.000000,1.08589601e+03
2.730455,5.301438,1290.000000,1.08524792e+03
1.047198,0.098175,1250.000000,1.08499373e+03
0.841069,5.595962,1220.000000,1.08414654e+03
2.730455,2.945243,1230.000000,1.08398138e+03
1.230959,4.810564,1370.000000,1.08390407e+03
2.193623,5.890486,1290.000000,1.08332665e+03
2.519224,4.581489,1210.000000,1.08320712e+03
1.823477,5.301438,1330.000000,1.08309434e+03
0.307395,1.832596,1370.000000,1.08249999e+03
0.307395,1.832596,1370.000000,1.08249999e+03
0.841069,2.454369,1240.000000,1.08218198e+03
2.625576,2.670354,1120.000000,1.08076853e+03
2.193623,5.694137,1260.000000,1.08063346e+03
0.516016,5.183628,1180.000000,1.08040792e+03
0.947970,5.890486,1320.000000,1.08032565e+03
1.403348,5.399612,1300.000000,1.08009679e+03
2.300524,2.454369,1300.000000,1.07998633e+03
2.519224,4.057891,1340.000000,1.07963653e+03
0.516016,2.984513,1340.000000,1.07942460e+03
2.411019,3.926991,1400.000000,1.07922189e+03
2.730455,3.730641,1270.000000,1.07911956e+03
0.411138,5.694137,1240.000000,1.07902228e+03
2.411019,1.682996,1240.000000,1.07832615e+03
2.411019,1.234197,1400.000000,1.07753927e+03
0.307395,5.497787,1110.000000,1.07705568e+03
0.516016,5.497787,1270.000000,1.07692449e+03
2.519224,3.534292,1330.000000,1.07690912e+03
2.730455,5.301438,1280.000000,1.07596465e+03
0.516016,2.042035,1270.000000,1.07578958e+03
0.622368,3.796091,1390.000000,1.07563501e+03
2.519224,1.439897,1330.000000,1.07504842e+03
2.300524,5.792311,1160.000000,1.07453790e+03
2.300524,5.792311,1160.000000,1.07453790e+03
0.204480,5.105088,1260.000000,1.07448779e+03
0.204480,5.105088,1260.000000,1.07448779e+03
2.193623,4.516039,1400.000000,1.07318038e+03
2.094395,3.436117,1390.000000,1.07303482e+03
2.193623,5.890486,1280.000000,1.07303402e+03
0.307395,2.879793,1260.000000,1.07298679e+03
2.519224,4.319690,1290.000000,1.07280371e+03
2.730455,2.945243,1220.000000,1.07237936e+03
2.730455,2.945243,1220.000000,1.07237936e+03
2.300524,4.221515,1100.000000,1.07224943e+03
2.730455,1.767146,1340.000000,1.07200576e+03
0.841069,5.399612,1370.000000,1.07036728e+03
1.403348,5.399612,1290.000000,1.07035961e+03
2.519224,1.701696,1230.000000,1.07020186e+03
2.300524,2.454369,1290.000000,1.06999259e+03
1.141021,3.926991,1250.000000,1.06919297e+03
0.730574,4.600189,1250.000000,1.06902704e+03
0.730574,2.356194,1170.000000,1.06721523e+03
2.519224,3.534292,1320.000000,1.06710193e+03
0.622368,3.796091,1380.000000,1.06671424e+03
0.841069,0.490874,1290.000000,1.06643784e+03
0.947970,2.552544,1350.000000,1.06625644e+03
0.947970,2.552544,1350.000000,1.06625644e+03
2.625576,2.042035,1130.000000,1.06621383e+03
2.300524,4.417865,1170.000000,1.06605448e+03
0.841069,1.865321,1330.000000,1.06549910e+03
0.841069,4.417865,1340.000000,1.06543605e+03
1.823477,5.301438,1310.000000,1.06504573e+03
0.841069,4.221515,1320.000000,1.06501984e+03
1.141021,3.730641,1300.000000,1.06466301e+03
2.937112,3.534292,1230.000000,1.06463898e+03
2.300524,1.276272,1400.000000,1.06461847e+03
2.625576,2.356194,1200.000000,1.06453469e+03
1.570796,0.883573,1280.000000,1.06417559e+03
1.570796,0.883573,1280.000000,1.06417559e+03
0.516016,1.099557,1180.000000,1.06383260e+03
1.318116,6.086836,1320.000000,1.06341804e+03
2.300524,2.650719,1190.000000,1.06277885e+03
0.307395,2.879793,1250.000000,1.06221471e+03
2.000572,0.196350,1350.000000,1.06192895e+03
0.947970,1.570796,1380.000000,1.06191670e+03
2.730455,3.337942,1180.000000,1.06179595e+03
2.000572,5.105088,1390.000000,1.06161301e+03
2.094395,2.258020,1400.000000,1.06157638e+03
1.487366,0.981748,1370.000000,1.06144726e+03
0.841069,5.595962,1200.000000,1.06102910e+03
2.730455,2.945243,1210.000000,1.06075479e+03
1.141021,0.000000,1300.000000,1.06030450e+03
0.307395,0.785398,1310.000000,1.06023766e+03
0.947970,0.000000,1300.000000,1.06006687e+03
0.411138,4.908739,1240.000000,1.06001156e+03
